Sr. No.,molecule_chembl_id,canonical_smiles,,bioactivity_class,Groups,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,standard_value,pIC50
5262,CHEMBL3799523,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN(C)C,,inactive,0,400.454,3.86562,2,7,8,79.74,10000,5
5263,CHEMBL3799756,CNCCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,,inactive,0,386.427,3.52342,3,7,8,88.53,10000,5
5264,CHEMBL3799843,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCC1CCN(C)CC1,,inactive,0,426.492,4.25572,2,7,6,79.74,5600,5.251811973
5265,CHEMBL3799867,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCCC1,,inactive,0,426.492,4.39982,2,7,7,79.74,10000,5
5266,CHEMBL3799933,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCOCC1,,inactive,0,442.491,3.63622,2,8,8,88.97,10000,5
5267,CHEMBL3799969,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCNCC1,,inactive,0,441.507,3.20922,3,8,7,91.77,10000,5
5268,CHEMBL3799971,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCNCC1,,inactive,0,455.534,3.59932,3,8,8,91.77,10000,5
5269,CHEMBL3799979,COc1cc2ncnc(Nc3cccc4[nH]ccc34)c2cc1OC,,inactive,0,320.352,3.8719,2,5,4,72.06,10000,5
5270,CHEMBL3800021,COc1cc2ncnc(Nc3ccc4cn[nH]c4c3)c2cc1OC,,inactive,0,321.34,3.2669,2,6,4,84.95,5200,5.283996656
5271,CHEMBL380006,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(=O)N(C)C,,inactive,0,445.926,4.083,1,6,7,70.59,10000,5
5272,CHEMBL3800128,COc1cc2ncnc(Nc3cccc(NS(C)(=O)=O)c3)c2cc1OC,,inactive,0,374.422,2.7621,2,7,6,102.44,10000,5
5273,CHEMBL3800155,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCC1CCCO1,,inactive,0,399.422,4.09292,2,7,6,85.73,10000,5
5274,CHEMBL3800250,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCC(F)C1,,inactive,0,430.455,3.95772,2,7,7,79.74,10000,5
5275,CHEMBL3800327,COc1cc2ncnc(Nc3cccc4[nH]ncc34)c2cc1OC,,inactive,0,321.34,3.2669,2,6,4,84.95,10000,5
5276,CHEMBL3800346,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCc1cccnc1,,inactive,0,406.417,4.50912,2,7,6,89.39,10000,5
5277,CHEMBL3800348,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCN(C)CC1,,inactive,0,455.534,3.55142,2,8,8,82.98,10000,5
5278,CHEMBL3800352,COc1cc(CCc2cc(Nc3ncnc4cc(NCCN5CCOCC5)ccc34)n[nH]2)cc(OC)c1,,active,1,503.607,3.643,3,9,11,109.45,100,7
5279,CHEMBL3800408,CNCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,,inactive,0,372.4,3.13332,3,7,7,88.53,10000,5
5280,CHEMBL3800526,COc1cc(CCc2cc(Nc3ncnc4cc(N5CCN6CCCCC6C5)ccc34)n[nH]2)cc(OC)c1,,active,1,513.646,4.5734,2,8,8,91.43,21.5,7.66756154
5281,CHEMBL3800542,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCC1,,inactive,0,426.492,4.39982,2,7,8,79.74,10000,5
5282,CHEMBL380068,CCCN(Cc1ccc(-c2[nH]nc3c2Cc2cc(CN4CCN(C)CC4)ccc2-3)s1)C(=O)Nc1cccc(C)c1,,active,1,554.764,6.20932,2,5,8,67.5,198,6.70333481
5283,CHEMBL380131,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(C(F)(F)F)cc2)o1,,active,1,415.379,4.2396,2,8,6,93.69,73,7.13667714
5284,CHEMBL380168,COc1cc2c(cc1OC)Oc1nc(C)nc(Nc3cccc(Br)c3)c1NC2,,inactive,0,443.301,5.02612,2,7,4,77.53,10000,5
5285,CHEMBL380243,CN1CCN(Cc2ccc3c(c2)-c2n[nH]c(-c4ccc(CN(C)C(=O)Nc5ccc(Cl)cc5)s4)c2C3)CC1,,active,1,547.128,5.7741,2,5,6,67.5,21,7.677780705
5286,CHEMBL380316,Clc1ccc(Nc2nnc(-c3cccc4cnccc34)c3ccccc23)cc1,,active,1,382.854,6.242,1,4,3,50.7,48,7.318758763
5287,CHEMBL380334,Cc1cc(C)c(/C=C2\C(=O)NN=C2c2cnccn2)[nH]1,,active,1,267.292,1.33904,2,4,2,83.03,43,7.366531544
5288,CHEMBL380386,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN[C@H](C)C(N)=O,,inactive,0,403.845,3.1379,3,6,7,102.16,10000,5
5289,CHEMBL380397,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4ccc(CNC(=O)Nc5cc(Cl)cc(Cl)c5)s4)n[nH]c2-3)CC1,,active,1,567.546,6.0853,3,5,6,76.29,79,7.102372909
5290,CHEMBL380421,FC(F)(F)c1cccc(Nc2nnc(-c3cccnc3CCc3cccnc3)o2)c1,,inactive,0,411.387,5.0742,1,6,6,76.73,10000,5
5291,CHEMBL380454,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC[C@H](C(N)=O)C1,,inactive,0,429.883,3.4817,2,6,6,93.37,10000,5
5292,CHEMBL380465,Cn1cc(/C=C2\C(=O)NN=C2c2nccs2)c2c(Br)cccc21,,active,1,387.262,3.3148,1,5,2,59.28,45,7.346787486
5293,CHEMBL380503,O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1Cn1ccc2ncnc-2c1,,inactive,0,420.472,5.4758,1,5,6,69.04,1550,5.809668302
5294,CHEMBL380508,Cc1ccc(Nc2nnc(-c3cccc4cnccc34)c3ccccc23)c(F)c1,,inactive,0,380.426,6.03612,1,4,3,50.7,430,6.366531544
5295,CHEMBL380536,FC(F)(F)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,,active,1,427.386,4.954,1,7,7,85.96,44,7.356547324
5296,CHEMBL3805771,CCN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3)cc2C(F)(F)F)CC1,,active,1,580.655,5.304,3,6,10,89.6,24,7.619788758
5297,CHEMBL3806189,CN1CCN(Cc2ccc(NC(=O)CNc3ccc(-c4ccc(NC(=O)C5CC5)nc4)cc3F)cc2C(F)(F)F)CC1,,active,1,584.618,5.053,3,6,9,89.6,21,7.677780705
5298,CHEMBL380700,Cc1cccc(NC(=O)c2scnc2CCc2ccncc2)c1,,inactive,0,323.421,3.88402,1,4,5,54.88,560,6.251811973
5299,CHEMBL380735,N#Cc1cnc(Nc2cc(N3CCN(CCN4CCCC4)CC3)ncn2)s1,,active,1,384.513,1.76618,1,9,6,84.21,9,8.045757491
5300,CHEMBL3808450,CC(C)(C)c1cc(NC(=O)c2cnc3cc(Oc4ncnc5c4CNC5)ccn23)no1,,active,1,419.445,3.0576,2,9,4,119.47,78,7.107905397
5301,CHEMBL3808619,CC(=O)Nc1cc(-c2ccc(NC(=O)Nc3cc(C(C)(C)C)on3)cc2)[nH]n1,,active,1,382.424,3.9646,4,5,4,124.94,21,7.677780705
5302,CHEMBL3808622,CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)ccc32)n[nH]1,,active,1,417.473,3.9276,3,7,3,109.75,1,9
5303,CHEMBL3808653,CC(C)(C)c1cc(NC(=O)n2ccc3nc(Oc4ncnc5c4CNC5)ccc32)no1,,active,1,419.445,3.5875,2,9,3,119.99,33,7.48148606
5304,CHEMBL3808720,Nc1cc(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)on1,,inactive,0,362.311,4.5866,3,4,3,93.18,10000,5
5305,CHEMBL3808728,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(NC(=O)C4CC4)on3)cc2)no1,,inactive,0,409.446,4.6196,3,6,5,122.29,5300,5.27572413
5306,CHEMBL3808854,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(N)n[nH]3)cc2)no1,,inactive,0,340.387,3.5884,4,5,3,121.86,610,6.214670165
5307,CHEMBL380889,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,,inactive,0,460.941,3.0218,2,7,9,96.61,10000,5
5308,CHEMBL3808921,C[C@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C(F)(F)F)CC4)on3)c2)CN1,,active,1,498.465,4.9199,2,8,4,107.1,1,9
5309,CHEMBL3808957,CC(C)(C)c1cc(NC(=O)n2ccc3ccc(Oc4ncnc5c4CNC5)cc32)no1,,active,1,418.457,4.1925,2,8,3,107.1,3,8.522878745
5310,CHEMBL380898,COc1cc2c3c(c4c5ccccc5[nH]c4c2c(OC)c1OC)C(=O)NC3=O,,active,1,376.368,3.3837,2,5,3,89.65,62,7.207608311
5311,CHEMBL380905,Cc1cc2c(F)c(Oc3ncnn4cc(O)c(C)c34)ccc2[nH]1,,active,1,312.304,3.46444,2,5,2,75.44,24,7.619788758
5312,CHEMBL3809077,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(N)on3)cc2)no1,,inactive,0,341.371,3.8533,3,6,3,119.21,1900,5.721246399
5313,CHEMBL3809144,CC1(c2cc(NC(=O)c3ccn4cc(Oc5ncnc6c5CNC6)ccc34)n[nH]2)CC1,,active,1,415.457,3.1517,3,7,5,109.23,51,7.292429824
5314,CHEMBL380915,Cn1cc(/C=C2\C(=O)NN=C2c2cnccn2)c2c(Br)cccc21,,active,1,382.221,2.6483,1,5,2,72.17,6,8.22184875
5315,CHEMBL3809254,Nc1cc(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)no1,,inactive,0,362.311,4.5866,3,4,3,93.18,7100,5.148741651
5316,CHEMBL380932,CC(C)(C)c1ccc(NC(=O)c2ccccc2Cn2ccc3ncnc-3c2)cc1,,active,1,384.483,4.981,1,4,4,59.81,61,7.214670165
5317,CHEMBL380944,N#Cc1cnc(Nc2cc(N3CCNCC3)ncn2)s1,,active,1,287.352,0.95798,2,8,3,89.76,16,7.795880017
5318,CHEMBL3809489,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,,active,1,506.658,4.882,2,8,4,97.78,8,8.096910013
5319,CHEMBL380957,Cc1cc2c(F)c(Oc3ncnn4cc(OCCN5CC[C@H](O)C5)c(C)c34)ccc2[nH]1,,active,1,425.464,3.20424,2,7,6,87.91,24,7.619788758
5320,CHEMBL3809588,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(NC(=O)C4CC4)n[nH]3)cc2)no1,,active,1,408.462,4.3547,4,5,5,124.94,11,7.958607315
5321,CHEMBL3809608,CC(C)(C)C(=O)Nc1cc(-c2ccc(NC(=O)Nc3cc(C(C)(C)C)on3)cc2)[nH]n1,,inactive,0,424.505,4.9908,4,5,4,124.94,310,6.508638306
5322,CHEMBL3809643,C[C@H]1Cc2c(ncnc2Oc2ccc3ccn(C(=O)Nc4cc(C5(C(F)(F)F)CC5)on4)c3c2)CN1,,active,1,498.465,4.9199,2,8,4,107.1,134,6.872895202
5323,CHEMBL3809715,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(N)no3)cc2)no1,,inactive,0,341.371,3.8533,3,6,3,119.21,10000,5
5324,CHEMBL380972,COc1cc2c(cc1OC)Oc1ncnc(Nc3cccc(Br)c3)c1NC2,,inactive,0,429.274,4.7177,2,7,4,77.53,10000,5
5325,CHEMBL3809754,CC(C)(C)c1cc(NC(=O)n2ccc3ncc(Oc4ncnc5c4CNC5)cc32)no1,,active,1,419.445,3.5875,2,9,3,119.99,55,7.259637311
5326,CHEMBL3809895,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cc3cc(N)n[nH]3)cc2)no1,,inactive,0,354.414,3.5122,4,5,4,121.86,6600,5.180456064
5327,CHEMBL3809912,Nc1cc(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)[nH]n1,,inactive,0,361.327,4.3217,4,3,3,95.83,7100,5.148741651
5328,CHEMBL3810135,CC(C)(C)c1cc(NC(=O)n2ncc3cc(Oc4ncnc5c4CNC5)ccc32)no1,,inactive,0,419.445,3.5875,2,9,3,119.99,4400,5.356547324
5329,CHEMBL3810154,CC(C)(C)c1cc(NC(=O)n2ccc3cc(Oc4ncnc5c4CNC5)cnc32)no1,,active,1,419.445,3.5875,2,9,3,119.99,36,7.443697499
5330,CHEMBL381034,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(Cl)cc(Cl)c2)cc1,,active,1,444.347,6.19972,3,5,3,92.93,160,6.795880017
5331,CHEMBL381104,COC(=O)c1cc2c(Oc3ccc4[nH]ccc4c3)ncnn2c1,,active,1,308.297,2.7895,1,6,3,81.51,210,6.677780705
5332,CHEMBL381122,c1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCO4)o2)nc1,,inactive,0,388.387,3.611,2,9,6,107.22,10000,5
5333,CHEMBL381182,FC(F)(F)c1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,,active,1,411.387,5.0742,1,6,6,76.73,58,7.236572006
5334,CHEMBL381206,COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCOCC4)cc(OC(C)C)c23)c1,,active,1,487,4.9237,1,8,10,77.97,30,7.522878745
5335,CHEMBL381207,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1,,active,1,461.444,6.05082,3,5,3,92.93,45,7.346787486
5336,CHEMBL381293,FC(F)(F)Oc1cccc(Nc2nnc(-c3cnccc3CCc3ccncc3)o2)c1,,inactive,0,427.386,4.954,1,7,7,85.96,550,6.259637311
5337,CHEMBL381300,O=C(Nc1ccc(Cl)cc1)c1scnc1CCc1ccc2ccccc2n1,,inactive,0,393.899,5.3822,1,4,5,54.88,10000,5
5338,CHEMBL3813717,CNc1ncnc(Oc2ccc(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)c1/C=N/OC,,inactive,0,496.474,3.9265,3,8,9,126.83,10000,5
