Sr. No.,molecule_chembl_id,canonical_smiles,,bioactivity_class,Groups,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,standard_value,pIC50
7068,CHEMBL3976755,Nc1nc(Nc2ccc(Cl)cc2)c2c(n1)-c1ccccc1C2,,inactive,0,308.772,4.027,2,4,2,63.83,132900,3.876475019
7069,CHEMBL3976788,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2N,,inactive,0,507.772,3.6702,2,8,5,100.75,1000,6
7070,CHEMBL3976826,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1nc(-c2ccccn2)cs1,,inactive,0,510.406,6.7863,1,8,7,82.05,1000,6
7071,CHEMBL3976896,CCCCCCCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,,active,1,533.5,6.7388,1,7,12,68.74,50,7.301029996
7072,CHEMBL3977010,COc1cc(OC)cc(N(CCO)c2ccc3ncc(-c4cnn(C5CCN(C(=O)OC(C)(C)C)CC5)c4)nc3c2)c1,,inactive,0,574.682,5.2129,1,10,8,115.07,10000,5
7073,CHEMBL3977030,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1csc(C2CCCCN2)n1,,active,1,516.454,6.5389,2,8,7,81.19,50,7.301029996
7074,CHEMBL3977041,Cc1cc(Oc2ccnc(NC(=O)C3CC3)c2)ccc1NC(=O)Nc1cc(F)cc(C(F)(F)F)c1,,active,1,488.441,6.33272,3,4,6,92.35,17.5,7.756961951
7075,CHEMBL3977137,CC(F)(F)c1cc(NC(=O)Nc2cc(F)cc(Oc3cc(NC(=O)C4CC4)ncn3)c2)ccc1Cl,,active,1,505.884,6.1656,3,5,7,105.24,41,7.387216143
7076,CHEMBL3977186,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(OCCCC(=O)NO)cc3)cc12)c1ccccc1,,active,1,431.496,4.4624,4,6,9,112.16,100,7
7077,CHEMBL3977192,NC(=S)NNc1nncc2ccccc12,,active,1,219.273,0.7899,3,4,2,75.86,7.5,8.124938737
7078,CHEMBL3977221,COc1cc2c(Nc3cccc(Br)c3Cl)ncnc2cc1OCC1CN(C)CCO1,,active,1,493.789,4.5073,1,7,6,68.74,50,7.301029996
7079,CHEMBL3977258,CC(F)(F)c1cc(NC(=O)Nc2ccc(Oc3cc(NC(=O)C4CC4)ncn3)cc2F)ccc1Cl,,active,1,505.884,6.1656,3,5,7,105.24,7.3,8.13667714
7080,CHEMBL3977286,O=C(Nc1ccc(C#Cc2ccc3nccn3n2)cc1)Nc1ccc(F)c(Cl)c1,,active,1,405.82,4.5656,2,4,2,71.32,96,7.017728767
7081,CHEMBL3977320,CCN1CCN(c2noc(COc3cc4ncnc(Nc5ccc(Cl)c(Cl)c5)c4cc3OC)n2)CC1,,active,1,530.416,4.7927,1,10,8,101.67,50,7.301029996
7082,CHEMBL3977445,Cc1cc(NC(=O)Nc2cc(OC(C)C)cc(C(F)(F)F)c2)cnc1Oc1ccnc(NC(=O)C2CC2)c1,,active,1,529.519,6.37582,3,6,8,114.47,30.2,7.519993057
7083,CHEMBL3977450,COc1cc2c(Nc3cc(Cl)c(Cl)cc3F)ncnc2cc1OC[C@H]1CN2CCOC[C@H]2CO1,,active,1,509.365,4.3063,1,8,6,77.97,50,7.301029996
7084,CHEMBL3977503,COc1cc2c(Nc3ccc(Br)c(Cl)c3Cl)ncnc2cc1OCC1CN(C)CCO1,,active,1,528.234,5.1607,1,7,6,68.74,50,7.301029996
7085,CHEMBL397757,COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c[n+]3[O-])cc2[nH]1,,active,1,520.399,4.9688,4,6,5,144.31,230,6.638272164
7086,CHEMBL3977612,O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1)Nc1cccc(OC(F)(F)F)c1,,active,1,472.423,5.765,3,5,7,101.58,7.8,8.107905397
7087,CHEMBL3977627,O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1)Nc1ccc(F)c(C(F)(F)F)c1,,active,1,492.404,6.1634,3,4,6,92.35,15.2,7.818156412
7088,CHEMBL3977676,CSc1ncc2c(n1)CCN(c1cc(C)cc(C(=O)Nc3cccc(C(C)C)c3)c1)C2,,inactive,0,432.593,5.44532,1,5,5,58.12,1000,6
7089,CHEMBL3977680,O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1F,,active,1,492.404,6.1634,3,4,6,92.35,25.1,7.600326279
7090,CHEMBL3977705,CSc1ncc2c(n1)CCN(c1cc(C(=O)Nc3ccccc3)ccn1)C2,,inactive,0,377.473,3.4085,1,6,4,71.01,10000,5
7091,CHEMBL3977708,COc1cc(OC)cc(N(CC#Cc2nccs2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,482.569,4.6938,0,9,6,78.19,4570.88,5.34000018
7092,CHEMBL3977751,Nc1nc(Nc2ccc(Br)cc2)c2c(n1)-c1ccccc1C2,,inactive,0,353.223,4.1361,2,4,2,63.83,163100,3.787546039
7093,CHEMBL3977759,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OC[C@@H]1CN2CCC[C@@H]2CO1,,active,1,475.376,4.9308,1,7,6,68.74,50,7.301029996
7094,CHEMBL3977791,COc1cc(OC)cc(N(CC#Cc2cccc(N)c2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,490.567,4.8195,1,8,6,91.32,10000,5
7095,CHEMBL3977904,COc1cc(OC)cc(N(Cc2nnc(NCCO)o2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,502.535,3.173,2,12,10,136.48,9120.11,5.039999924
7096,CHEMBL3977907,CCNC(=O)c1cc2nccc(Oc3cccc(NC(=O)c4occc4C)c3)c2s1,,active,1,421.478,4.99202,2,6,6,93.46,9,8.045757491
7097,CHEMBL3978101,Cc1cc(NC(=O)Nc2cccc(OC(F)(F)F)c2)ccc1Oc1ccnc(NC(=O)C2CC2)c1,,active,1,486.45,6.07342,3,5,7,101.58,11,7.958607315
7098,CHEMBL3978177,COC(=O)CCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,,active,1,521.401,4.3315,1,9,9,95.04,50,7.301029996
7099,CHEMBL3978214,CC(C)c1cccc(NC(=O)c2cccc(N3CCc4c(cnc5ccnn45)C3)c2)c1,,active,1,411.509,4.6677,1,5,4,62.53,8,8.096910013
7100,CHEMBL3978313,CNc1cccnc1C#CCN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1,,inactive,0,505.582,4.674,1,9,7,90.22,8128.31,5.089999741
7101,CHEMBL3978349,COc1cc(OC)cc(N(CCO)c2ccc3ncc(-c4cnn(C)c4CCCO)nc3c2)c1,,inactive,0,463.538,3.1028,2,9,10,105.76,6025.6,5.219999702
7102,CHEMBL3978453,COc1cc(OC)cc(N(CC(O)CNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,476.581,3.5445,2,9,10,97.56,3388.44,5.4700002
7103,CHEMBL3978551,O=C(Nc1cccc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1,,active,1,474.414,6.0243,3,4,6,92.35,3.73,8.428291168
7104,CHEMBL3978609,CSc1ncc2c(n1)CN(c1ccnc(C(=O)Nc3ccc(C(F)(F)F)cc3)c1)C2,,inactive,0,431.443,4.3848,1,6,4,71.01,10000,5
7105,CHEMBL3978617,COc1cc(OC)c(Cl)c(N(CCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1Cl,,inactive,0,474.348,4.4847,1,8,7,85.53,1862.09,5.729999332
7106,CHEMBL3978649,Cc1ccoc1C(=O)Nc1cccc(C#Cc2cc(C(=O)N=S(C)(C)=O)cnc2N)c1,,active,1,436.493,3.08512,2,6,3,127.65,6,8.22184875
7107,CHEMBL3978686,O=S(=O)(Nc1ccccn1)c1ccc(Nc2nncc3ccccc23)cc1,,active,1,377.429,3.5692,2,6,5,96.87,7.8,8.107905397
7108,CHEMBL3978687,Cc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)cc1NC(=O)Nc1cc(C(C)(F)F)ccc1F,,active,1,484.478,6.42562,3,4,7,92.35,17.2,7.764471553
7109,CHEMBL3978754,COc1ccnc(C#CCN(c2ccc3ncc(-c4cnn(C)c4)nc3c2)c2c(F)c(OC)cc(OC)c2F)n1,,inactive,0,543.534,4.3141,0,10,7,100.31,467.74,6.329995489
7110,CHEMBL3978824,COC(=O)C1CCCN1CCCNC(=O)c1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)c(F)c3)c2s1,,active,1,623.682,6.07652,3,8,10,121.89,4,8.397940009
7111,CHEMBL3979013,COc1cc(OC)cc(N(CCCN)c2ccc3ncc(-c4cnn(C(C)C)c4)nc3c2)c1,,inactive,0,446.555,4.5783,1,8,9,91.32,1000,6
7112,CHEMBL3979028,COc1cc(OC)cc(N(Cc2ccncc2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,452.518,4.7808,0,8,7,78.19,8128.31,5.089999741
7113,CHEMBL3979083,Cc1cc(Oc2ccnc(NC(=O)C3CC3)c2)ccc1NC(=O)Nc1cc(C(C)(F)F)ccc1F,,active,1,484.478,6.42562,3,4,7,92.35,8.3,8.080921908
7114,CHEMBL3979170,COc1cc(OC)cc(N(C[C@@H]2CCCN2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,444.539,3.9376,1,8,7,77.33,10000,5
7115,CHEMBL3979172,COc1cc(OC)cc(N(CC(C)N)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,418.501,3.5328,1,8,7,91.32,3467.37,5.459999813
7116,CHEMBL3979195,COC(=O)CCCCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,,active,1,549.455,5.1117,1,9,11,95.04,50,7.301029996
7117,CHEMBL3979264,COc1cc2c(Nc3ccc(NC(=O)Nc4ccccc4)c(Cl)c3)ncnc2cc1OCCCN1CCN(C)CC1,,active,1,576.101,5.6957,3,8,10,103.88,261,6.583359493
7118,CHEMBL3979299,Cc1cccc(NC(=O)Nc2ccc(C3CN=C4c5ccccc5NC(=O)N4C3)c(C)c2)c1,,inactive,0,439.519,5.33894,3,3,3,85.83,1500,5.823908741
7119,CHEMBL3979314,COc1cc(OCCO)cc(N(CCO)c2ccc3ncc(-c4cnn(CCO)c4)nc3c2)c1,,inactive,0,465.51,1.9957,3,10,11,125.99,10000,5
7120,CHEMBL3979317,CCCCCCCCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,,inactive,0,547.527,7.1289,1,7,13,68.74,1000,6
7121,CHEMBL3979328,COc1cc(OC)c(Cl)c(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1Cl,,inactive,0,515.445,5.4904,1,8,9,77.33,467.74,6.329995489
7122,CHEMBL3979341,CN(c1ccnc(NC(=O)C2CC2)c1)c1ccc(NC(=O)Nc2cccc(C(F)(F)F)c2)c(F)c1,,active,1,487.457,5.9999,3,4,6,86.36,16.2,7.790484985
7123,CHEMBL3979359,Cc1ccc(F)c(NC(=O)Nc2ccccc2C#Cc2ccc3nccn3n2)c1,,inactive,0,385.402,4.22062,2,4,2,71.32,1805,5.743522794
7124,CHEMBL3979437,CN1CCC(C(=O)c2cc(NC(=O)Nc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)c(F)c3)cc(C(F)(F)F)c2)CC1,,active,1,599.585,6.5488,3,6,8,112.66,15.2,7.818156412
7125,CHEMBL3979459,CSc1ncc2c(n1)CCN(c1cccc(C(=O)Nc3ccccc3)n1)C2,,inactive,0,377.473,3.4085,1,6,4,71.01,10000,5
7126,CHEMBL3979490,COc1cc(OC)cc(N(Cc2cc(C)on2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,456.506,4.68222,0,9,7,91.33,10000,5
7127,CHEMBL3979610,Fc1ccc(Nc2nncc3ccccc23)cc1,,active,1,239.253,3.5125,1,3,2,37.81,0.67,9.173925197
7128,CHEMBL3979662,COc1ccc(OC)c(N(CCN)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1,,inactive,0,390.447,3.1339,2,7,7,102.18,10000,5
7129,CHEMBL3979670,COc1cc(OC)cc(N(CCN2CC=CCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,470.577,4.4475,0,8,8,68.54,2041.74,5.689999563
7130,CHEMBL3979687,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCCC1CCCCC1,,inactive,0,446.378,7.038,1,5,7,56.27,1000,6
7131,CHEMBL3979728,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CCC2OCCO2)CCO1,,active,1,535.428,4.5314,1,9,9,87.2,50,7.301029996
7132,CHEMBL3979830,COC(=O)CNCCCNC(=O)c1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)c(F)c3)c2s1,,active,1,583.617,5.20172,4,8,11,130.68,5,8.301029996
7133,CHEMBL3979836,Cc1ccccc1NC(=O)Nc1ccc(-c2cc3ccccc3n2C(N)=O)cc1,,active,1,384.439,5.18752,3,3,3,89.15,174,6.759450752
7134,CHEMBL3979885,COc1cc(OC)cc(N(CCNC(=O)C2CCCN(C)C2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,529.645,3.6436,1,9,9,97.64,2344.23,5.629999781
7135,CHEMBL3979908,C=CCN(c1cc(F)cc(OC)c1)c1ccc2ncc(-c3cnn(C)c3)nc2c1,,inactive,0,389.434,4.5021,0,6,6,56.07,6606.93,5.180000294
7136,CHEMBL3979920,Cn1cc(-c2nc(N[C@@H]3CCCC[C@@H]3N)c(F)c3c2C(=O)NC3)cn1,,active,1,344.394,1.5464,3,6,3,97.86,135,6.869666232
7137,CHEMBL3979972,COc1cc(OC)cc(N(CC#Cc2ccncc2C#N)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,501.55,4.50398,0,9,6,101.98,1445.44,5.839999931
7138,CHEMBL3979996,COc1cc(C2OCCO2)cc(N(CC2CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,457.534,4.6324,0,8,7,74.53,10000,5
7139,CHEMBL3980022,NC(=O)C1(c2ccccc2CCc2nc(Nc3ccc(C4CCNCC4)nc3)ncc2Cl)CC1,,inactive,0,477.012,4.0377,3,6,8,105.82,1996,5.699839463
7140,CHEMBL3980069,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C5CCNCC5)c4)nc3c2)c1,,inactive,0,515.662,4.5711,2,9,10,89.36,2454.71,5.609999808
7141,CHEMBL3980166,Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc4cc(C(=O)NCCNC(=O)OC(C)(C)C)sc34)cc2F)c1,,active,1,597.644,6.57372,4,7,8,130.68,24,7.619788758
7142,CHEMBL3980232,COc1cc(OC)cc(N(CCCO)c2ccc3ncc(-c4cnn(C5CCCCO5)c4)nc3c2)c1,,inactive,0,489.576,4.7301,1,9,9,94.76,2630.27,5.579999668
7143,CHEMBL3980252,COc1cc(OC)cc(N(C[C@H](O)CN2CC[C@H](C#N)C2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,513.602,3.39198,1,10,9,112.56,2884.03,5.540000226
7144,CHEMBL3980266,Cc1cccc(NC(=O)Nc2cccc(C#Cc3cncc(C(=O)N=S(C)(C)=O)c3)c2)c1,,active,1,446.532,4.30162,2,4,3,100.52,8,8.096910013
7145,CHEMBL3980417,COc1cc(OC)cc(N(CC#Cc2cc(CO)ccn2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,506.566,4.1246,1,9,7,98.42,8912.51,5.04999997
7146,CHEMBL3980495,Cc1ccc(NC(=O)Nc2ccc(C#Cc3ccc4nccn4n3)cc2)cc1,,inactive,0,367.412,4.08152,2,4,2,71.32,2297,5.638839005
7147,CHEMBL3980712,COc1cc(OC)cc(N(CC#Cc2ccccc2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,475.552,5.2373,0,7,6,65.3,10000,5
7148,CHEMBL3980861,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCC(=O)NO,,active,1,386.383,1.88864,5,4,5,123.32,100,7
7149,CHEMBL3980939,CC(F)(F)c1cccc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2F)c1,,active,1,470.451,6.1172,3,4,7,92.35,9.9,8.004364805
7150,CHEMBL3981059,COc1cccc(Nc2ncc3c(n2)CCN(C(=O)c2cccnc2)C3)c1,,inactive,0,361.405,2.8223,1,6,4,80.24,443,6.353596274
7151,CHEMBL3981076,COc1cc(OC)cc(N(CCN2CCN(C(C)=O)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,515.618,3.3497,0,9,8,88.85,1778.28,5.749999856
7152,CHEMBL3981077,COc1cc(F)cc(N(CCO)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1,,inactive,0,379.395,3.298,2,6,6,87.16,10000,5
7153,CHEMBL3981207,C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(Cl)c(OC)cc(OC)c1Cl,,inactive,0,468.344,5.1256,0,7,6,65.3,4897.79,5.30999984
7154,CHEMBL3981416,Cc1ccc(F)c(C(=O)Nc2cccc(C#Cc3ccc4nc(N)cn4n3)c2)c1,,active,1,385.402,3.41112,2,5,2,85.31,88,7.055517328
7155,CHEMBL3981418,[2H]C([2H])([2H])Oc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1,,inactive,0,435.5463053,4.1732,2,7,10,88.19,1548.82,5.809999052
7156,CHEMBL3981432,COc1cc2c(Nc3ccc(Br)c(Cl)c3Cl)ncnc2cc1OCC1CN(C)C(C)(C)CO1,,active,1,556.288,5.9393,1,7,6,68.74,50,7.301029996
7157,CHEMBL3981466,N#Cc1cc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)ccc1Oc1cc(NC(=O)C2CC2)ncn1,,active,1,516.867,5.80528,3,6,6,129.03,25,7.602059991
7158,CHEMBL398154,CCOc1cc2ncnc(NC3=CC(=O)C(OCc4ccccn4)=CC3=O)c2cc1NC(=O)/C=C/CN(C)C,,active,1,528.569,3.0281,2,10,11,135.64,135,6.869666232
7159,CHEMBL3981567,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCC(=O)NO,,active,1,606.582,5.3357,4,8,12,148.11,12,7.920818754
7160,CHEMBL3981577,Cn1cc(Nc2ncc(Cl)c(CCc3ccccc3C(C)(C)C(N)=O)n2)cn1,,inactive,0,398.898,3.1552,2,6,7,98.72,370,6.431798276
7161,CHEMBL3981584,O=C(NO)c1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,,inactive,0,359.389,3.356,4,5,5,102.93,1000,6
7162,CHEMBL3981613,C=CCCCCCCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,,active,1,545.511,6.9049,1,7,13,68.74,50,7.301029996
7163,CHEMBL3981706,COc1cc(OC)cc(N(CCNC2CC(C)(C)NC(C)(C)C2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,543.716,5.0844,2,9,9,89.36,10000,5
7164,CHEMBL3981808,NC(=O)n1c(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)cc2ccccc21,,active,1,456.399,6.037,3,3,3,89.15,11,7.958607315
7165,CHEMBL3981955,COCC(O)CN(c1cc(OC)cc(OC)c1)c1ccc2ncc(-c3cnn(C(C)C)c3)nc2c1,,inactive,0,477.565,4.2368,1,9,10,94.76,4265.8,5.36999951
7166,CHEMBL3981956,Nc1c(C(=O)c2cc3ccccc3o2)cnn1-c1cc(O)ccc1Cl,,active,1,353.765,3.7907,2,6,3,94.28,170,6.769551079
7167,CHEMBL398196,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5ccc(O)cc5)cnc(N)c34)cc2)c1,,active,1,466.566,6.87052,4,5,4,100.27,11,7.958607315
7168,CHEMBL3982058,Cc1cc(NC(=O)Nc2cccc(C(F)(F)F)c2)ccc1Oc1cc(NC(=O)C2CC2)ncn1,,active,1,471.439,5.58862,3,5,6,105.24,14.5,7.838631998
7169,CHEMBL3982107,COc1cc(OC)cc(N(CCN2CCCNCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,487.608,3.4809,1,9,8,80.57,891.25,6.050000457
7170,CHEMBL3982303,COc1cc(OC)cc(N(CC(OCC(O)C(C)C)C(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,533.673,5.2437,1,9,12,94.76,10000,5
7171,CHEMBL3982334,COc1cc(F)cc(N(CC2CC2)c2ccc3ncc(-c4cnn(CCO)c4)nc3c2)c1,,inactive,0,433.487,4.1814,1,7,8,76.3,10000,5
7172,CHEMBL3982351,COc1cc(OC)cc(N(C/C(=N\O)C(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,460.538,4.6718,1,9,8,97.89,4677.35,5.330000131
7173,CHEMBL3982399,COc1cc(OC)cc(N(CC#Cc2cc(N)nc(C)n2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,506.57,3.91792,1,10,6,117.1,1737.8,5.760000207
7174,CHEMBL3982410,Cc1ccc(NC(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)cc2)cc1C(F)(F)F,,active,1,470.451,6.19362,3,4,6,92.35,10,8
7175,CHEMBL3982416,COc1cc(N(CC2CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)cc(C(F)(F)F)c1,,inactive,0,453.468,5.6058,0,6,6,56.07,10000,5
7176,CHEMBL3982466,COC1=CC(N(CCO)c2ccc3ncc(-c4c(C(F)(F)F)nn(C)c4C(F)(F)F)nc3c2)CC(OC)=C1,,inactive,0,543.468,4.6995,1,8,7,85.53,10000,5
7177,CHEMBL3982570,COc1ccc(OC)c(N(CCCN2CCCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,472.593,4.6715,0,8,9,68.54,6760.83,5.169999984
7178,CHEMBL3982619,O=C1CS/C(=N/Nc2nncc3ccccc23)N1c1ccccc1,,active,1,335.392,3.0927,1,6,3,70.48,3.5,8.455931956
7179,CHEMBL3982666,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C(=O)c2cc(F)ccc2F)CCO1,,active,1,575.399,5.887,1,7,7,85.81,50,7.301029996
7180,CHEMBL3982668,COc1cc(OC)cc(N(CCN2CCOCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,474.565,3.5178,0,9,8,77.77,1819.7,5.740000205
7181,CHEMBL3982717,CN1CCC(n2cc(Nc3ncc(Cl)c(CCc4ccccc4C4(C(N)=O)CC4)n3)cn2)CC1,,active,1,480.016,3.6389,2,7,8,101.96,21,7.677780705
7182,CHEMBL3982718,COc1cc(OC)cc(N(CC#Cc2nccc(OC(C)C)n2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,535.608,4.8145,0,10,8,100.31,7762.47,5.110000065
7183,CHEMBL3982740,COc1cc(OC)cc(N(CCCN2CCC[C@H]2CO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,active,1,502.619,4.0324,1,9,10,88.77,30.2,7.519993057
7184,CHEMBL3982896,Cc1cc(NC(=O)Nc2cc(C(C)(F)F)ccc2F)ccc1Oc1ccnc(NC(=O)C2CC2)c1,,active,1,484.478,6.42562,3,4,7,92.35,9.9,8.004364805
7185,CHEMBL398296,Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2cc(Cl)ccc21,,active,1,343.799,2.6007,1,6,2,72.17,34,7.468521083
7186,CHEMBL3982995,Cc1cccc(NC(=O)Nc2cccc(N3CCc4c(cnc5ccnn45)C3)c2)c1,,active,1,398.47,4.24442,2,5,3,74.56,27,7.568636236
7187,CHEMBL398301,Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccc(F)cc12,,active,1,341.371,2.39482,1,6,2,72.17,99,7.004364805
7188,CHEMBL398302,Cc1nnsc1C1=NNC(=O)/C1=C\c1c[nH]c2ccc(Cl)cc12,,active,1,343.799,2.89872,2,5,2,83.03,300,6.522878745
7189,CHEMBL3983027,COCCN1CCN(C(=O)Nc2ccc(Oc3ccnc(-c4cnn(C)c4)c3)c(C)n2)C1=O,,inactive,0,451.487,2.89372,1,8,7,114.71,3300,5.48148606
7190,CHEMBL3983115,COCCNC(=O)Cn1cc(-c2cnc3ccc(N(CC4CC4)c4cc(OC)cc(OC)c4)cc3n2)cn1,,inactive,0,516.602,3.8212,1,9,12,103.63,10000,5
7191,CHEMBL3983179,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C)CCN1C,,inactive,0,462.381,4.3134,1,7,6,62.75,1000,6
7192,CHEMBL3983201,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1csc(-c2ccc(C(F)(F)F)cc2)n1,,inactive,0,577.415,8.4101,1,7,7,69.16,1000,6
7193,CHEMBL3983245,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CCCCF)CCO1,,active,1,509.409,5.5181,1,7,10,68.74,50,7.301029996
7194,CHEMBL3983308,Cc1cccc(C(=O)Nc2cccc(C#Cc3cncc(C(=O)N=S(=O)(CCCO)CCCO)c3)c2)c1,,active,1,519.623,3.41512,3,6,9,128.95,3,8.522878745
7195,CHEMBL3983387,COc1ccc(Cl)c(N(CCNC(C)C)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1,,inactive,0,436.947,4.818,2,6,8,78.96,2137.96,5.670000424
7196,CHEMBL3983434,COc1cc(C2=C(c3cn(CCN)c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,,inactive,0,421.453,2.193,2,7,7,104.81,1885,5.724688645
7197,CHEMBL3983450,CCCCc1ccc(C(=O)N2CCOC(COc3cc4ncnc(Nc5ccc(Cl)c(Cl)c5)c4cc3OC)C2)cc1,,inactive,0,595.527,6.9514,1,7,10,85.81,1000,6
7198,CHEMBL3983460,COc1cc2c(Nc3ccc(NC(=O)Nc4ccccc4)cc3)ncnc2cc1OCc1ccccc1,,inactive,0,491.551,6.605,3,6,8,97.4,10000,5
7199,CHEMBL3983466,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1CN2CCC[C@H]2C(=O)N1C,,active,1,520.392,4.5117,1,7,6,79.82,50,7.301029996
7200,CHEMBL3983529,COc1cc(OC)cc(N(CCN2CCN(CCO)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,,inactive,0,517.634,2.7955,1,10,10,92.01,645.65,6.190002845
